isin,ajoute_le,note
FR0010011171,2026-09-19,"PER Gilles, PER Laurence"
FR0010315770,2026-09-19,Assurance vie Gilles
FR0013332418,2026-09-19,"PER Gilles, PER Laurence"
FR0013367281,2026-09-19,"PER Gilles, PER Laurence"
FR00140001C5,2026-09-19,June REIM
FR001400OS06,2026-09-19,PEE Laurence
FR001400R849,2026-09-19,PEE Laurence
FR001400S9E6,2026-09-19,PEE Laurence
FR001400U5Q4,2026-09-19,PEA Gilles
IE000I8KRLL9,2026-09-19,Assurance vie Gilles
LU0173614495,2026-09-19,"PER Gilles, PER Laurence"
LU0496786574,2026-09-19,Assurance vie Gilles
LU0503631987,2026-09-19,"PER Gilles, PER Laurence"
LU0524465977,2026-09-19,"PER Gilles, PER Laurence"
LU1250158166,2026-09-19,"PER Gilles, PER Laurence"
LU1379103812,2026-09-19,"PER Gilles, PER Laurence"
LU1681044480,2026-09-19,Assurance vie Gilles
LU1829219390,2026-09-19,PEA Gilles
LU1829221024,2026-09-19,Assurance vie Gilles
QS0000109767,2026-09-19,PEE Gilles
